epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
144,716.681,0.24389,0.34383,0.08399,0.84223,0.74614,0.84678,0.64356,0.29008,0.39727,0.19861,0.00143372,0.00143372,0.00143372
145,721.415,0.24875,0.34042,0.08616,0.81628,0.78467,0.85018,0.63246,0.27841,0.41511,0.18527,0.00142976,0.00142976,0.00142976
146,726.372,0.23422,0.33154,0.08506,0.80969,0.80795,0.85612,0.62121,0.27543,0.38207,0.17658,0.0014258,0.0014258,0.0014258
147,731.183,0.25124,0.33624,0.10062,0.81077,0.81678,0.85454,0.62757,0.27597,0.37191,0.17111,0.00142184,0.00142184,0.00142184
148,736.014,0.22882,0.3295,0.08274,0.80788,0.79029,0.83823,0.61723,0.27892,0.46063,0.18162,0.00141788,0.00141788,0.00141788
149,740.776,0.25007,0.33719,0.09297,0.8006,0.73951,0.80978,0.59513,0.28823,0.45896,0.19766,0.00141392,0.00141392,0.00141392
150,745.816,0.24405,0.35848,0.08997,0.83004,0.76544,0.83286,0.61345,0.27302,0.39828,0.18044,0.00140996,0.00140996,0.00140996
151,750.675,0.26178,0.36074,0.09616,0.81678,0.7638,0.82254,0.60862,0.25925,nan,0.16821,0.001406,0.001406,0.001406
152,755.497,0.24528,0.34684,0.09258,0.8062,0.71302,0.79351,0.58992,0.27784,nan,0.17975,0.00140204,0.00140204,0.00140204
153,760.467,0.24442,0.36151,0.1259,0.83993,0.71817,0.80098,0.5893,0.29315,nan,0.20597,0.00139808,0.00139808,0.00139808
154,765.329,0.24217,0.34446,0.08824,0.84878,0.63191,0.6833,0.52677,nan,nan,nan,0.00139412,0.00139412,0.00139412
155,770.114,0.23151,0.33951,0.10244,0.825,0.77042,0.83894,0.62114,0.29309,0.40636,0.20204,0.00139016,0.00139016,0.00139016
156,774.887,0.23971,0.33748,0.08582,0.84402,0.75055,0.83901,0.62311,0.26345,0.43368,0.17033,0.0013862,0.0013862,0.0013862
157,779.824,0.23417,0.34459,0.10031,0.82764,0.79502,0.8539,0.63189,0.26318,0.44773,0.17515,0.00138224,0.00138224,0.00138224
158,784.591,0.25285,0.32847,0.09872,0.86207,0.78808,0.86097,0.63407,0.2624,0.43875,0.18717,0.00137828,0.00137828,0.00137828
159,789.426,0.24824,0.34921,0.09741,0.85386,0.77386,0.86783,0.63788,0.26548,0.40687,0.19238,0.00137432,0.00137432,0.00137432
160,794.217,0.23751,0.3496,0.09025,0.82123,0.7947,0.84725,0.63189,0.26563,0.42658,0.182,0.00137036,0.00137036,0.00137036
