epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,11045.3,1.16201,2.02983,0.8899,1.17293,0.82435,0.78737,0.86092,0.58141,0.82448,0.78366,0.85449,0.55362,1.0201,2.0519,0.84206,1.22919,0.0013202,0.0013202,0.0013202
105,11150.3,1.16394,2.14152,0.90317,1.19803,0.79595,0.80795,0.85376,0.58907,0.79425,0.81015,0.85605,0.5377,1.00841,2.13184,0.8699,1.25964,0.0013136,0.0013136,0.0013136
106,11255.4,1.15414,2.15619,0.90925,1.19946,0.7779,0.79638,0.8362,0.57514,0.78983,0.76159,0.83584,0.53096,0.95818,1.9249,0.89696,1.18557,0.001307,0.001307,0.001307
107,11360.7,1.17945,2.14232,0.90505,1.19553,0.79088,0.7638,0.83126,0.55203,0.7993,0.75607,0.82441,0.52445,0.98556,2.09782,0.92375,1.17794,0.0013004,0.0013004,0.0013004
108,11466,1.17162,2.08426,0.9015,1.17004,0.77666,0.71965,0.7975,0.53938,0.78507,0.72848,0.8021,0.50513,1.04232,2.2158,1.01635,1.2296,0.0012938,0.0012938,0.0012938
109,11570.9,1.17626,2.16235,0.96224,1.21505,0.83034,0.72185,0.84225,0.5742,0.84243,0.73173,0.84279,0.54013,0.99254,2.01805,0.92603,1.18528,0.0012872,0.0012872,0.0012872
110,11676,1.21088,2.25639,0.98102,1.22494,0.80834,0.77483,0.84144,0.56912,0.80914,0.77483,0.83726,0.53578,0.97543,2.04166,0.8977,1.17791,0.0012806,0.0012806,0.0012806
111,11778.5,1.15706,2.03417,0.94509,1.16502,0.83808,0.71965,0.83343,0.57292,0.83808,0.71965,0.82617,0.52782,0.97899,2.22364,0.88855,1.1614,0.001274,0.001274,0.001274
112,11884.1,1.1949,2.22332,0.92761,1.1899,0.83495,0.74819,0.84372,0.58865,0.82743,0.74393,0.83277,0.54276,0.93608,1.88045,0.84889,1.15025,0.0012674,0.0012674,0.0012674
113,11987.1,1.15522,2.04175,0.90782,1.17808,0.75175,0.76205,0.81643,0.55728,0.73974,0.77483,0.8057,0.51013,0.99428,1.84577,0.88081,1.15889,0.0012608,0.0012608,0.0012608
114,12090.4,1.17631,2.11815,0.94196,1.20655,0.80228,0.75244,0.82806,0.55184,0.78172,0.74172,0.80968,0.52266,1.02981,2.03867,0.89181,1.22592,0.0012542,0.0012542,0.0012542
115,12194.9,1.17212,2.10609,0.92804,1.18728,0.83643,0.72848,0.82219,0.5485,0.85371,0.73431,0.80728,0.51439,1.03667,2.03762,0.94299,1.22937,0.0012476,0.0012476,0.0012476
116,12298.6,1.15076,2.05076,0.8943,1.16439,0.84577,0.69757,0.81218,0.5593,0.86698,0.68212,0.81197,0.52128,0.95383,1.95478,0.91956,1.1952,0.001241,0.001241,0.001241
117,12401.4,1.14624,2.06193,0.89758,1.18297,0.80492,0.73731,0.83181,0.56878,0.79815,0.74195,0.81623,0.52677,0.96236,1.93207,0.92978,1.19547,0.0012344,0.0012344,0.0012344
118,12505.6,1.1971,2.18278,0.95115,1.24556,0.82109,0.72406,0.826,0.53133,0.77823,0.75139,0.81542,0.50371,1.07457,2.02544,0.94834,1.20924,0.0012278,0.0012278,0.0012278
119,12612.2,1.16574,2.12094,0.93516,1.20363,0.83162,0.75497,0.84145,0.56914,0.82955,0.75276,0.83506,0.52385,0.95186,1.90188,0.88623,1.16766,0.0012212,0.0012212,0.0012212
120,12718,1.14653,2.12899,0.93639,1.18781,0.86593,0.74141,0.86813,0.5885,0.8616,0.74614,0.8587,0.55637,0.98827,1.86459,0.87195,1.17991,0.0012146,0.0012146,0.0012146
121,12826.3,1.19539,2.18479,0.94138,1.21741,0.7965,0.78626,0.86096,0.59429,0.80726,0.77483,0.85671,0.56693,0.9655,1.8371,0.85868,1.20179,0.001208,0.001208,0.001208
122,12928.6,1.14066,2.05146,0.89987,1.19238,0.82368,0.74614,0.84645,0.58545,0.83399,0.75412,0.8542,0.56066,0.96817,1.86374,0.86658,1.21007,0.0012014,0.0012014,0.0012014
123,13033.3,1.17376,2.13056,0.90053,1.18428,0.81787,0.72366,0.83446,0.57123,0.85495,0.71563,0.83263,0.54903,0.98575,1.92003,0.87696,1.20681,0.0011948,0.0011948,0.0011948
124,13139.1,1.15619,2.08695,0.92528,1.18189,0.81199,0.7638,0.84948,0.59174,0.82444,0.77483,0.8586,0.55079,0.94861,1.8819,0.84882,1.17364,0.0011882,0.0011882,0.0011882
